日期,天气,气温,风向
2020-02-13,多云转小雨,17℃～10℃,南风转东南风 3-4级转3-4级
2020-02-14,阴转中雨,10℃～1℃,东风转北风 3-4级转3-4级
2020-02-15,阴转多云,0℃～-5℃,北风转西北风 3-4级
2020-02-16,多云转晴,2℃～-5℃,西北风 4-5级转4-5级
2020-02-17,晴,5℃～-4℃,西北风 3-4级转3-4级
2020-02-18,晴转多云,11℃～-1℃,西南风 3-4级转3-4级
2020-02-19,阴转晴,11℃～0℃,东南风转南风 3-4级转3-4级
2020-02-20,多云,13℃～4℃,东北风转南风 3-4级转3-4级
2020-02-21,阴转晴,11℃～2℃,西风转西北风 3-4级
2020-02-22,晴,12℃～0℃,西风转南风 3-4级转3-4级
2020-02-23,晴转阴,15℃～3℃,南风 3-4级转3-4级
2020-02-24,小雨,10℃～7℃,北风 3-4级转3-4级
2020-02-25,阴转多云,11℃～5℃,东北风 3-4级
2020-02-26,多云,10℃～0℃,东北风 3-4级
2020-02-27,阴转小雨,7℃～2℃,东北风转东风 3-4级转3-4级
2020-02-28,阴转多云,5℃～1℃,东北风转东风 3-4级转3-4级
2020-02-29,阴,7℃～4℃,东南风转东风 <3级
2020-03-01,阴转多云,7℃～-1℃,东北风转北风 <3级
2020-03-02,雾转多云,8℃～-1℃,东北风转南风 <3级
2020-03-03,阴转多云,11℃～0℃,西风转北风 3-4级转3-4级
2020-03-04,晴,10℃～-2℃,东北风转北风 3-4级转3-4级
2020-03-05,晴转多云,10℃～0℃,西南风转东南风 3-4级转3-4级
2020-03-06,阴,11℃～5℃,南风 3-4级转3-4级
2020-03-07,多云转晴,17℃～4℃,东风 3-4级转3-4级
2020-03-08,雾转阴,10℃～6℃,东风 3-4级转3-4级
2020-03-09,阴转小雨,4℃～9℃,东北风转北风 3-4级
2020-03-10,晴,2℃～13℃,西风转北风 3-4级转3-4级
2020-03-11,晴,4℃～16℃,西南风转南风 4-5级转4-5级
2020-03-12,阴转小雨,5℃～19℃,西南风转东北风 3-4级转3-4级
2020-03-13,阴转多云,1℃～9℃,东北风转西南风 4-5级转4-5级
2020-03-14,晴,3℃～15℃,西风 4-5级转4-5级
2020-03-15,晴,4℃～20℃,西北风转东风 3-4级
2020-03-16,阴转多云,6℃～14℃,西南风转南风 3-4级
2020-03-17,晴,7℃～20℃,东北风转西南风 3-4级转3-4级
2020-03-18,晴,8℃～24℃,西南风转西北风 5-6级转5-6级
2020-03-19,晴,6℃～18℃,西北风转西南风 4-5级转4-5级
2020-03-20,晴,12℃～23℃,西南风转南风 5-6级转5-6级
2020-03-21,多云,9℃～30℃,西风转东北风 4-5级
2020-03-22,阴转晴,7℃～19℃,东北风转南风 3-4级转3-4级
2020-03-23,晴,7℃～22℃,东风转南风 <3级
2020-03-24,多云转阴,9℃～21℃,东南风 3-4级
2020-03-25,阴转小雨,8℃～11℃,东风 3-4级转3-4级
2020-03-26,阴,7℃～15℃,东北风转北风 4-5级转4-5级
2020-03-27,阴转多云,4℃～12℃,东北风 3-4级
2020-03-28,阴转多云,4℃～13℃,东风转东北风 3-4级转3-4级
2020-03-29,阴,2℃～11℃,西南风转南风 3-4级转3-4级
2020-03-30,阴,7℃～16℃,南风 3-4级转3-4级
2020-03-31,阴,6℃～15℃,南风 <3级转<3级
2020-04-01,阴,7℃～16℃,东北风 4-5级转4-5级
2020-04-02,阴转多云,5℃～11℃,北风 3-4级转3-4级
2020-04-03,晴,6℃～18℃,西风转西南风 3-4级
2020-04-04,阴转晴,3℃～18℃,东北风 4-5级转4-5级
2020-04-05,多云,6℃～17℃,东北风转南风 3-4级转3-4级
2020-04-06,阴转多云,6℃～20℃,西南风 3-4级转3-4级
2020-04-07,阴转多云,9℃～24℃,西南风 3-4级
2020-04-08,多云转小雨,9℃～15℃,东风 3-4级
2020-04-09,阴转小雨,7℃～13℃,东风转东北风 4-5级转4-5级
2020-04-10,中雨转小雨,4℃～7℃,东北风转北风 3-4级转3-4级
2020-04-11,多云转晴,6℃～15℃,东北风转西北风 3-4级
2020-04-12,晴,5℃～19℃,东北风转北风 4-5级转4-5级
2020-04-13,晴,9℃～22℃,西风转西南风 3-4级转3-4级
2020-04-14,阴转多云,11℃～21℃,西南风转南风 3-4级转3-4级
2020-04-15,晴转小雨,13℃～23℃,南风转东南风 3-4级
2020-04-16,小雨转晴,11℃～22℃,西风转西北风 3-4级转3-4级
2020-04-17,多云转晴,9℃～22℃,西风转北风 4-5级转4-5级
2020-04-18,阴转小雨,12℃～19℃,东南风转东北风 3-4级转3-4级
2020-04-19,阴转多云,10℃～14℃,东北风转西南风 <3级转<3级
2020-04-20,多云,9℃～21℃,北风 3-4级
2020-04-21,阴转多云,8℃～16℃,西南风转北风 3-4级
2020-04-22,晴转多云,6℃～17℃,西北风 3-4级转3-4级
2020-04-23,晴,6℃～18℃,西风转西北风 4-5级转4-5级
2020-04-24,晴,11℃～22℃,西风转西南风 4-5级转4-5级
2020-04-25,晴,9℃～22℃,东北风转东风 4-5级转4-5级
2020-04-26,晴转多云,10℃～19℃,东风转北风 3-4级转3-4级
2020-04-27,多云转晴,12℃～22℃,东风转西南风 3-4级
2020-04-28,晴,11℃～24℃,西南风转南风 4-5级转4-5级
2020-04-29,晴,16℃～27℃,西南风转南风 3-4级转3-4级
2020-04-30,晴转多云,20℃～32℃,西南风 3-4级转3-4级
2020-05-01,阴转雷阵雨,19℃～30℃,南风 3-4级转3-4级
2020-05-02,阴转晴,16℃～25℃,东风 <3级
2020-05-03,多云,17℃～29℃,南风转东北风 3-4级转3-4级
2020-05-04,阴转中雨,12℃～20℃,东北风 3-4级
2020-05-05,小雨转晴,10℃～20℃,东北风 3-4级转3-4级
2020-05-06,晴转多云,14℃～23℃,东风 3-4级
2020-05-07,阴转大雨,15℃～24℃,东风 3-4级
2020-05-08,暴雨转阴,13℃～18℃,东北风转北风 3-4级
2020-05-09,阴,14℃～20℃,西风 3-4级转3-4级
2020-05-10,阴转多云,14℃～27℃,西风转西南风 3-4级转3-4级
2020-05-11,阴转晴,15℃～21℃,西风转西南风 3-4级
2020-05-12,晴,13℃～24℃,西北风转南风 3-4级转3-4级
2020-05-13,阴,18℃～28℃,西南风转南风 3-4级
2020-05-14,中雨转小雨,16℃～20℃,东南风转北风 <3级
2020-05-15,多云,18℃～28℃,南风转西南风 <3级
2020-05-16,阴转多云,18℃～29℃,西南风转南风 3-4级
2020-05-17,多云转雷阵雨,13℃～32℃,西南风转北风 3-4级转3-4级
2020-05-18,晴,14℃～22℃,西北风转西风 4-5级
2020-05-19,晴,14℃～27℃,西风转东风 3-4级转3-4级
2020-05-20,多云转晴,16℃～28℃,南风 3-4级转3-4级
2020-05-21,晴,19℃～29℃,东南风转南风 3-4级
2020-05-22,阴转多云,20℃～31℃,西南风转南风 3-4级
2020-05-23,中雨转多云,16℃～32℃,西风转北风 4-5级转4-5级
2020-05-24,阴转多云,20℃～25℃,西北风转西南风 3-4级转3-4级
2020-05-25,阴转多云,18℃～28℃,西南风转南风 3-4级
2020-05-26,中雨转多云,17℃～26℃,北风 3-4级转3-4级
2020-05-27,多云,17℃～29℃,西风转北风 3-4级
2020-05-28,晴转多云,20℃～31℃,南风 3-4级转3-4级
2020-05-29,小雨转阴,17℃～29℃,南风转东南风 3-4级
2020-05-30,小雨转阴,17℃～21℃,东南风 3-4级转3-4级
2020-05-31,多云,18℃～26℃,西南风转南风 3-4级
2020-06-01,多云转小雨,20℃～28℃,东南风转南风 3-4级
2020-06-02,阴转多云,20℃～32℃,东北风转西风 3-4级转3-4级
2020-06-03,晴,21℃～35℃,西南风 3-4级转3-4级
2020-06-04,晴,23℃～37℃,西风转南风 3-4级转3-4级
2020-06-05,阴转多云,20℃～29℃,东风 3-4级转3-4级
2020-06-06,晴,21℃～35℃,南风转西南风 3-4级转3-4级
2020-06-07,阴转晴,22℃～35℃,西南风转南风 3-4级转3-4级
2020-06-08,阴,19℃～33℃,东风 3-4级
2020-06-09,阴转小雨,22℃～26℃,东风 3-4级
2020-06-10,阴转多云,21℃～30℃,东北风转北风 3-4级转3-4级
2020-06-11,多云转中雨,22℃～32℃,东风 3-4级转3-4级
2020-06-12,中雨转阴,20℃～21℃,东风转东北风 3-4级
2020-06-13,阴转多云,20℃～24℃,东北风转西北风 3-4级转3-4级
2020-06-14,多云,21℃～33℃,西北风转南风 3-4级转3-4级
2020-06-15,阴转多云,24℃～34℃,北风转南风 3-4级转3-4级
2020-06-16,小雨,19℃～28℃,东南风转东风 3-4级
2020-06-17,大雨转中雨,17℃～20℃,东风转东北风 3-4级
2020-06-18,小雨转阴,17℃～21℃,东风转西北风 3-4级转3-4级
2020-06-19,多云,19℃～27℃,东北风转南风 <3级
2020-06-20,多云,19℃～28℃,东南风 3-4级转3-4级
2020-06-21,阴转多云,20℃～27℃,东风 3-4级
2020-06-22,阴转中雨,21℃～25℃,东风转东北风 3-4级
2020-06-23,小雨,20℃～23℃,北风转西北风 3-4级
2020-06-24,阴转多云,18℃～27℃,西北风转东北风 3-4级转3-4级
2020-06-25,多云,22℃～29℃,西南风转南风 <3级转<3级
2020-06-26,阴转多云,23℃～30℃,南风转东风 3-4级转3-4级
2020-06-27,多云,21℃～33℃,东南风转东风 3-4级转3-4级
2020-06-28,阴转小雨,21℃～30℃,东南风转东风 3-4级
2020-06-29,中雨转雷阵雨,19℃～26℃,东北风转南风 4-5级转4-5级
2020-06-30,阴转多云,17℃～23℃,东风转北风 <3级
2020-07-01,多云,20℃～30℃,东南风 <3级
2020-07-02,阴转雷阵雨,20℃～27℃,东风 3-4级
2020-07-03,小雨转阴,19℃～21℃,东北风转东风 3-4级转3-4级
2020-07-04,阴,20℃～26℃,西南风转南风 <3级
2020-07-05,阴转多云,22℃～28℃,西南风转南风 3-4级转3-4级
2020-07-06,多云,23℃～34℃,西南风转东北风 3-4级转3-4级
2020-07-07,多云转晴,22℃～31℃,东北风转东风 3-4级转3-4级
2020-07-08,阴转多云,21℃～30℃,东南风转东风 3-4级转3-4级
2020-07-09,小雨转多云,20℃～26℃,东风 3-4级转3-4级
2020-07-10,多云,20℃～29℃,东风转东南风 <3级
2020-07-11,阴转暴雨,21℃～27℃,东风 3-4级
2020-07-12,大雨转小雨,20℃～23℃,东北风转北风 4-5级转4-5级
2020-07-13,小雨转多云,19℃～27℃,北风转东北风 3-4级转3-4级
2020-07-14,阴转多云,20℃～27℃,东北风转西南风 <3级
2020-07-15,多云,20℃～30℃,东南风转西风 <3级
2020-07-16,多云转阴,20℃～30℃,东南风 3-4级转3-4级
2020-07-17,阴转暴雨,20℃～26℃,东风转东北风 3-4级
2020-07-18,小雨,20℃～24℃,东北风转北风 3-4级
2020-07-19,中雨转多云,19℃～24℃,西北风转西风 3-4级转3-4级
2020-07-20,晴,21℃～29℃,东北风转东风 <3级
2020-07-21,阴转中雨,21℃～28℃,东风 3-4级转3-4级
2020-07-22,暴雨转中雨,20℃～24℃,东风转西南风 4-5级转4-5级
2020-07-23,多云,20℃～28℃,西北风转北风 3-4级转3-4级
2020-07-24,晴,21℃～31℃,西风 3-4级
2020-07-25,多云转阴,22℃～31℃,北风转南风 <3级
2020-07-26,小雨转阴,20℃～25℃,东北风转东风 3-4级转3-4级
2020-07-27,阴转多云,21℃～27℃,东风转东北风 3-4级转3-4级
2020-07-28,多云,21℃～29℃,东风 3-4级转3-4级
2020-07-29,多云,21℃～29℃,东南风转东北风 3-4级转3-4级
2020-07-30,小雨,24℃～29℃,东南风 <3级
2020-07-31,暴雨转小雨,24℃～26℃,东风转南风 3-4级转3-4级
2020-08-01,多云转小雨,24℃～32℃,南风 <3级转<3级
2020-08-02,小雨转中雨,24℃～30℃,西风转西南风 3-4级转3-4级
2020-08-03,阴转雷阵雨,26℃～31℃,西南风转南风 <3级
2020-08-04,阴,25℃～30℃,东风转东北风 3-4级转3-4级
2020-08-05,阴转中雨,25℃～30℃,东北风转西南风 3-4级转3-4级
2020-08-06,中雨转暴雨,24℃～27℃,西风转南风 4-5级转4-5级
2020-08-07,大雨转中雨,25℃～26℃,西北风转南风 3-4级
2020-08-08,阴转雷阵雨,24℃～27℃,东北风转南风 3-4级转3-4级
2020-08-09,多云,24℃～30℃,东风转东北风 <3级
2020-08-10,多云,24℃～32℃,南风转东风 <3级
2020-08-11,多云转小雨,26℃～32℃,东风 <3级转<3级
2020-08-12,阴转雷阵雨,25℃～31℃,东风转南风 3-4级
2020-08-13,阴转中雨,25℃～33℃,西南风 4-5级转4-5级
2020-08-14,小雨转阴,26℃～30℃,西南风转南风 3-4级转3-4级
2020-08-15,阴转多云,26℃～32℃,西风转南风 3-4级转3-4级
2020-08-16,晴,27℃～34℃,西南风转东风 <3级
2020-08-17,多云,27℃～35℃,南风转东南风 <3级
2020-08-18,多云转雷阵雨,26℃～35℃,南风转西南风 <3级
2020-08-19,阴转雷阵雨,24℃～35℃,西北风转东北风 4-5级转4-5级
2020-08-20,小雨转中雨,21℃～27℃,北风转东北风 3-4级
2020-08-21,小雨,20℃～24℃,东北风 3-4级转3-4级
2020-08-22,阴转多云,22℃～26℃,东北风转东南风 3-4级转3-4级
2020-08-23,转多云,22℃～25℃,转东南风 转
2020-08-24,小雨转雷阵雨,24℃～32℃,西风转东北风 4-5级转4-5级
2020-08-25,阴转大雨,22℃～28℃,东北风转北风 3-4级
2020-08-26,中雨,20℃～25℃,东北风转北风 3-4级
2020-08-27,阴转多云,20℃～26℃,西北风转北风 3-4级转3-4级
2020-08-28,多云,20℃～29℃,北风 <3级
2020-08-29,晴转小雨,22℃～31℃,东北风转北风 3-4级
2020-08-30,阴转小雨,24℃～28℃,东风转东北风 3-4级转3-4级
2020-08-31,阴转多云,23℃～31℃,西风转北风 3-4级
2020-09-01,多云,22℃～30℃,东北风转北风 3-4级转3-4级
2020-09-02,小雨转晴,18℃～29℃,东北风转西北风 3-4级转3-4级
2020-09-03,晴,15℃～28℃,西风 4-5级转4-5级
2020-09-04,晴,18℃～30℃,南风转西南风 3-4级转3-4级
2020-09-05,晴转多云,20℃～30℃,西南风转南风 3-4级转3-4级
2020-09-06,多云,21℃～32℃,北风 <3级
2020-09-07,多云,21℃～32℃,西北风转东北风 <3级
2020-09-08,多云,20℃～29℃,东北风转北风 3-4级转3-4级
2020-09-09,多云转雷阵雨,21℃～31℃,西风转西南风 <3级
2020-09-10,小雨转多云,19℃～23℃,西风转东北风 3-4级
2020-09-11,小雨转多云,17℃～25℃,东风转北风 3-4级转3-4级
2020-09-12,阴转晴,18℃～27℃,东风转北风 3-4级转3-4级
2020-09-13,多云转阴,18℃～27℃,东北风转东南风 3-4级转3-4级
2020-09-14,阴,19℃～23℃,南风转东南风 <3级
2020-09-15,阴,20℃～26℃,南风转西南风 3-4级转3-4级
2020-09-16,多云,17℃～30℃,西风转北风 <3级
2020-09-17,多云转晴,14℃～26℃,西风转西北风 3-4级转3-4级
2020-09-18,晴,16℃～28℃,南风转西南风 <3级
2020-09-19,阴转晴,16℃～30℃,西南风转西风 3-4级转3-4级
2020-09-20,晴转多云,18℃～29℃,西北风转北风 <3级
2020-09-21,阴,18℃～27℃,东南风转东北风 <3级
2020-09-22,阴,17℃～26℃,东南风转东北风 3-4级转3-4级
2020-09-23,阴转多云,16℃～25℃,东风转北风 3-4级转3-4级
2020-09-24,阴转小雨,17℃～26℃,北风 <3级
2020-09-25,小雨转多云,17℃～25℃,东北风 <3级
2020-09-26,晴转多云,16℃～26℃,东风转北风 3-4级转3-4级
2020-09-27,晴转多云,16℃～26℃,东北风 3-4级转3-4级
2020-09-28,阴转多云,17℃～26℃,东北风转北风 <3级
2020-09-29,阴转晴,16℃～26℃,东北风 3-4级
2020-09-30,晴转多云,14℃～24℃,东北风 3-4级转3-4级
2020-10-01,多云转阴,18℃～25℃,西南风转南风 3-4级转3-4级
2020-10-02,小雨,16℃～19℃,东北风 3-4级转3-4级
2020-10-03,阴,13℃～18℃,东风转北风 3-4级转3-4级
2020-10-04,阴转晴,9℃～18℃,东北风转西北风 3-4级转3-4级
2020-10-05,阴转多云,8℃～16℃,西北风转北风 3-4级转3-4级
2020-10-06,多云转阴,11℃～18℃,东北风转北风 3-4级转3-4级
2020-10-07,阴转晴,12℃～22℃,东南风转东北风 <3级
2020-10-08,阴转多云,13℃～23℃,北风 3-4级转3-4级
2020-10-09,多云,12℃～24℃,东北风转北风 3-4级转3-4级
2020-10-10,多云转阴,15℃～22℃,北风转东南风 3-4级转3-4级
2020-10-11,阴转小雨,15℃～20℃,南风转西风 <3级转<3级
2020-10-12,阴转多云,12℃～20℃,东北风 3-4级转3-4级
2020-10-13,转小雨,14℃～17℃,转北风 转
2020-10-14,小雨转阴,12℃～15℃,东北风 3-4级转3-4级
2020-10-15,阴,12℃～17℃,北风转西南风 3-4级转3-4级
2020-10-16,阴转晴,7℃～17℃,西南风转北风 3-4级转3-4级
2020-10-17,晴,7℃～19℃,北风 <3级
2020-10-18,多云,7℃～19℃,西南风转北风 <3级
2020-10-19,阴转晴,8℃～21℃,东南风 <3级
2020-10-20,多云,12℃～19℃,西南风 <3级
2020-10-21,多云转晴,7℃～21℃,北风 3-4级转3-4级
2020-10-22,晴,6℃～20℃,西北风转北风 3-4级
2020-10-23,晴转多云,5℃～18℃,西北风转北风 3-4级转3-4级
2020-10-24,晴,8℃～18℃,东风转南风 <3级
2020-10-25,多云转晴,10℃～20℃,西风转南风 3-4级转3-4级
2020-10-26,阴转晴,12℃～21℃,东北风转北风 <3级
2020-10-27,阴转多云,13℃～20℃,东北风 3-4级
2020-10-28,阴,12℃～15℃,东北风转北风 3-4级转3-4级
2020-10-29,阴转多云,8℃～17℃,北风 3-4级转3-4级
2020-10-30,多云,11℃～18℃,北风转南风 3-4级转3-4级
2020-10-31,阴,11℃～17℃,西南风转西风 3-4级转3-4级
2020-11-01,多云,7℃～20℃,东北风转北风 3-4级转3-4级
2020-11-02,阴转晴,5℃～19℃,西风转北风 3-4级
2020-11-03,多云,5℃～15℃,东北风转东风 3-4级转3-4级
2020-11-04,多云转阴,8℃～17℃,西南风转南风 3-4级转3-4级
2020-11-05,阴,11℃～15℃,南风转西南风 3-4级转3-4级
2020-11-06,晴,7℃～22℃,西风转西北风 3-4级转3-4级
2020-11-07,多云转晴,6℃～21℃,西北风转北风 3-4级
2020-11-08,晴,3℃～17℃,东北风转北风 3-4级转3-4级
2020-11-09,多云转晴,5℃～17℃,西南风转西风 <3级
